export id,app settings,dataset,dataset id,ROI Name,Channel Identifier,Raw Channel Identifier,id,x,y,Number of localisations,Skew,Circularity,Density (nm^-2),Area (nm^2),Discretised area (nm^2),Radius of gyration (nm),Length (nm),Count Type,Counts in Channel 1,Counts in Channel 2,Positivity in Channel 1,Positivity in Channel 2
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78263,5933.4473,5922.954,61,1.6560671,0.7838819,0.007354576,8294.156,8000,34.833717,122.993904,binned,21,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78262,9525.61,7531.394,57,3.0764654,0.6197779,0.002479757,22986.125,11200,99.611374,282.93835,binned,22,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78261,9848.02,7266.3594,60,2.1357274,0.7316255,0.003487358,17205,10800,60.29126,195.43832,binned,23,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78259,4995.5894,30398.195,61,2.7284813,0.6320953,0.00015061,405020,19600,289.20395,930.22534,binned,17,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78257,14012.543,5976.2354,41,1.5284023,0.6928696,0.005808136,7059.0635,6800,33.39117,87.3582,binned,17,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78254,4599.8804,33786.29,112,1.0756009,0.48727635,0.001080633,103643,27200,104.25366,202.19495,binned,52,6,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78253,5393.909,33190.53,21,3.2390451,0.44251952,0.00040314,52091.125,7600,120.858475,556.9715,binned,10,5,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78252,3480.9624,28997.14,146,1.229381,0.71285766,0.012238056,11930,12400,34.43259,107.63248,binned,31,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78251,4103.8965,29474.78,59,1.6883484,0.7669582,0.005453306,10819.125,10800,37.24755,127.91402,binned,17,6,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78249,28440.758,14056.811,36,2.614101,0.6626846,0.003305482,10891,8800,58.797333,166.7158,binned,15,7,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78247,5112.473,18045.127,59,1.1362412,0.60878664,0.001121236,52620.5,13600,75.17862,192.99881,binned,25,8,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78243,4237.6943,28521.488,29,2.074033,0.76303387,0.00464697,6240.625,6400,37.632416,112.706985,binned,15,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78239,10789.876,13472.983,21,1.9535474,0.66608316,0.001673155,12551.141,6000,58.716267,208.28125,binned,11,4,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78237,33492.598,4840.3945,17,1.1866934,0.5783006,3.29E-05,517315.12,4000,386.8536,1215.3904,binned,1,0,FALSE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78232,4948.4097,28368.357,119,1.7487129,0.77737445,0.0100423,11849.875,13200,36.110405,137.79132,binned,25,4,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78226,7425.0684,34884.066,66,2.5103607,0.565141,0.003201251,20616.938,11200,62.385662,268.2453,binned,23,3,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78225,5954.2373,34901.92,45,4.8571343,0.5339406,0.001279286,35175.875,11600,108.21721,389.68765,binned,17,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78224,5395.9175,29176.371,87,1.5391761,0.84908605,0.002209194,39380.875,18000,70.75923,254.09172,binned,22,17,TRUE,TRUE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78219,4614.9404,34498.9,29,1.2675639,0.8636664,0.005998062,4834.8945,5200,31.333979,78.75129,binned,15,0,TRUE,FALSE
8,sb tem 30,ONI EVs sample1-1,d-0hz12tjmv6rj73l2atl,Full Field of View, Channel 1-Channel 2 Merged Clusters, Channel 1-Channel 2 Merged Clusters,78217,8188.78,34516.35,32,1.5203024,0.63828087,0.007836864,4083.2656,5200,29.264181,81.54387,binned,14,0,TRUE,FALSE
